id,mu,lambda,mut_prob,cx_prob,HV
2932,963,1105,0.4703756235539913,0.5296243764460087,3.1631
2933,963,2336,0.4088477101176977,0.5911522898823023,3.3724
2934,133,152,0.4088477101176977,0.5911522898823023,3.1324
2935,136,192,0.6160030271857977,0.3839969728142023,3.229
2936,583,824,0.6160030271857977,0.3839969728142023,3.4232
2937,136,278,0.6160030271857977,0.3839969728142023,3.27
2938,136,192,0.7546483529731631,0.24535164702683687,3.2068
2939,583,1193,0.7546483529731631,0.24535164702683687,3.5778
2940,267,552,0.7841919232159853,0.2158080767840147,3.2864
2941,736,1523,0.7841919232159853,0.2158080767840147,3.5657
2942,267,650,0.7841919232159853,0.2158080767840147,3.2647
2943,267,552,0.6772457743063569,0.3227542256936431,3.4076
2944,736,1793,0.6772457743063569,0.3227542256936431,3.3718
2945,866,943,0.17614912241697311,0.8238508775830269,3.0925
2946,169,184,0.17614912241697311,0.8238508775830269,2.3358
2947,866,1103,0.17614912241697311,0.8238508775830269,3.573
2948,866,943,0.018637094646692276,0.9813629053533077,2.4174
2949,169,215,0.018637094646692276,0.9813629053533077,2.0192
2950,701,2095,0.6930916113778949,0.3069083886221051,3.9473
2951,863,2579,0.6930916113778949,0.3069083886221051,4.0782
2952,701,1140,0.6930916113778949,0.3069083886221051,3.2805
2953,701,2095,0.2568669617176056,0.7431330382823944,3.3819
2954,863,1404,0.2568669617176056,0.7431330382823944,3.3394
2955,342,676,0.3309119353070855,0.6690880646929145,3.2779
2956,295,583,0.3309119353070855,0.6690880646929145,3.2632
2957,342,867,0.3309119353070855,0.6690880646929145,3.3386
2958,342,676,0.9076016368344426,0.09239836316555738,3.269
2959,295,748,0.9076016368344426,0.09239836316555738,3.2673
2960,307,884,0.9182067094370723,0.08179329056292772,3.6889
2961,609,1755,0.9182067094370723,0.08179329056292772,3.5124
2962,307,316,0.9182067094370723,0.08179329056292772,3.0783
2963,307,884,0.04756390117108822,0.9524360988289118,3.0959
2964,609,628,0.04756390117108822,0.9524360988289118,2.8821
2965,659,1253,0.057972841896116734,0.9420271581038833,2.94
2966,109,207,0.057972841896116734,0.9420271581038833,2.3585
2967,659,1404,0.057972841896116734,0.9420271581038833,3.244
2968,659,1253,0.6473346902057528,0.35266530979424715,3.9879
2969,109,232,0.6473346902057528,0.35266530979424715,3.2287
2970,823,1689,0.5727714691311121,0.4272285308688879,3.3614
2971,958,1966,0.5727714691311121,0.4272285308688879,3.5436
2972,823,2286,0.5727714691311121,0.4272285308688879,3.5813
2973,823,1689,0.8776984205469489,0.12230157945305109,3.903
2974,958,2661,0.8776984205469489,0.12230157945305109,3.5807
2975,232,241,0.4667043685913086,0.5332956314086914,2.9733
2976,457,475,0.4667043685913086,0.5332956314086914,2.7816
2977,232,448,0.4667043685913086,0.5332956314086914,3.1114
2978,232,241,0.2858016360551119,0.7141983639448881,2.5478
2979,457,883,0.2858016360551119,0.7141983639448881,3.5377
2980,157,383,0.13298622146248817,0.8670137785375118,3.0859
2981,389,950,0.13298622146248817,0.8670137785375118,3.1003
2982,157,243,0.13298622146248817,0.8670137785375118,2.9144
2983,157,383,0.14558523893356323,0.8544147610664368,3.0705
2984,389,603,0.14558523893356323,0.8544147610664368,3.204
2985,991,1450,0.7805740963667631,0.21942590363323689,3.7755
2986,771,1128,0.7805740963667631,0.21942590363323689,3.1987
2987,991,2620,0.7805740963667631,0.21942590363323689,3.5439
2988,991,1450,0.5502862455323339,0.44971375446766615,3.3097
2989,771,2038,0.5502862455323339,0.44971375446766615,3.4516
2990,561,1466,0.35799959022551775,0.6420004097744823,3.6506
2991,262,684,0.35799959022551775,0.6420004097744823,3.227
2992,561,1267,0.35799959022551775,0.6420004097744823,3.4858
2993,561,1466,0.7884655678644776,0.21153443213552237,3.8484
2994,262,591,0.7884655678644776,0.21153443213552237,3.6387
2995,438,701,0.7440954959020019,0.25590450409799814,3.0811
2996,645,1033,0.7440954959020019,0.25590450409799814,3.5718
2997,438,622,0.7440954959020019,0.25590450409799814,3.6058
2998,438,701,0.3760145343840122,0.6239854656159878,3.3565
2999,645,916,0.3760145343840122,0.6239854656159878,3.2356
3000,486,1092,0.30342951510101557,0.6965704848989844,3.4105
3001,836,1880,0.30342951510101557,0.6965704848989844,3.6396
3002,486,1029,0.30342951510101557,0.6965704848989844,3.2844
3003,486,1092,0.367403881624341,0.632596118375659,3.4145
3004,836,1771,0.367403881624341,0.632596118375659,3.5189
3005,602,735,0.658040533773601,0.34195946622639894,3.223
3006,336,410,0.658040533773601,0.34195946622639894,3.0076
3007,602,733,0.658040533773601,0.34195946622639894,3.1694
3008,602,735,0.9671126892790198,0.03288731072098017,3.3478
3009,336,409,0.9671126892790198,0.03288731072098017,2.7598
3010,883,2494,0.2031736597418785,0.7968263402581215,3.6882
