,mu,lambda,prob,HV
330,786.15722656,1.18725586,0.87744141,0.1983807151100396
331,920.678711,1.18725586,0.877441406,0.3608746586750483
332,786.15722656,2.77172852,0.87744141,0.3970962599445548
333,786.157227,1.18725586,0.414550781,0.1213915509320408
334,920.678711,2.77172852,0.414550781,0.2334580522480627
335,311.15722656,2.43725586,0.37744141,0.2771281321866879
336,445.678711,2.43725586,0.377441406,0.1258077027810849
337,311.15722656,1.52172852,0.37744141,0.1462416350368329
338,311.15722656,2.43725586,0.91455078,0.1824136047755815
339,445.67871094,1.52172852,0.91455078,0.2260252149246644
340,429.907227,1.49975586,0.00244140625,0.0560279633626289
341,326.928711,1.49975586,0.00244140625,0.037745692643189
342,429.907227,1.20922852,0.00244140625,0.1550838838370593
343,429.90722656,1.49975586,0.53955078,0.3682988463979271
344,326.92871094,1.20922852,0.53955078,0.1675316321468711
345,904.907227,2.74975586,0.502441406,0.2975636263794031
346,801.928711,2.74975586,0.502441406,0.2292889880195108
347,904.907227,2.45922852,0.502441406,0.2755987414952277
348,904.907227,2.74975586,0.0395507812,0.4837622000065941
349,801.928711,2.45922852,0.0395507812,0.2629337763320582
350,667.407227,0.874755859,0.252441406,0.1450218919861544
351,89.42871094,0.87475586,0.25244141,0.0697595825822196
352,667.407227,1.83422852,0.252441406,0.1886491818901211
353,667.407227,0.874755859,0.289550781,0.1375677483792965
354,89.42871094,1.83422852,0.28955078,0.1196351821665942
355,192.40722656,2.12475586,0.75244141,0.1086911371777477
356,564.42871094,2.12475586,0.75244141,0.2470688407303064
357,192.40722656,0.58422852,0.75244141,0.0729779008230918
358,192.40722656,2.12475586,0.78955078,0.1476932144715033
360,251.78222656,1.34350586,0.31494141,0.2108824739765706
361,861.303711,1.34350586,0.314941406,0.2231500488891767
362,251.78222656,2.30297852,0.31494141,0.2600055039139709
363,251.78222656,1.34350586,0.97705078,0.1817481414033905
364,861.30371094,2.30297852,0.97705078,0.3426910994313248
365,726.78222656,2.59350586,0.81494141,0.2028727505365835
366,386.30371094,2.59350586,0.81494141,0.3742407730878214
367,726.78222656,1.05297852,0.81494141,0.175279816846978
368,726.782227,2.59350586,0.477050781,0.2377499233864342
369,386.30371094,1.05297852,0.47705078,0.2211363884630491
371,623.803711,0.718505859,0.0649414062,0.0939716907532796
372,964.282227,1.67797852,0.0649414062,0.1882967602227295
374,623.803711,1.67797852,0.227050781,0.2514139179447176
375,489.28222656,1.96850586,0.56494141,0.1646435258472567
376,148.80371094,1.96850586,0.56494141,0.1572854594236364
377,489.28222656,2.92797852,0.56494141,0.3811883397892817
378,489.28222656,1.96850586,0.72705078,0.2980388492314465
379,148.80371094,2.92797852,0.72705078,0.203785704860659
380,370.53222656,1.03100586,0.93994141,0.1484889750657311
381,267.55371094,1.03100586,0.93994141,0.301615614157536
382,370.53222656,2.61547852,0.93994141,0.3450207435041909
383,370.53222656,1.03100586,0.85205078,0.0923033576300124
384,267.55371094,2.61547852,0.85205078,0.1191286229714893
385,845.532227,2.28100586,0.439941406,0.2105280910478204
386,742.553711,2.28100586,0.439941406,0.2708601310978702
387,845.532227,1.36547852,0.439941406,0.3098476702720317
388,845.532227,2.28100586,0.352050781,0.2340561543361911
389,742.553711,1.36547852,0.352050781,0.2121927589095252
390,608.03222656,1.65600586,0.68994141,0.1600576282276501
391,505.05371094,1.65600586,0.68994141,0.2321438554850037
392,608.03222656,0.74047852,0.68994141,0.1500436603720469
393,608.032227,1.65600586,0.102050781,0.2029940458799071
394,505.053711,0.740478516,0.102050781,0.1372709169759919
395,133.03222656,2.90600586,0.18994141,0.0562533575799582
