index,pf_size,geno_size,canon_size,red_dup,red_sim,red_total
52,809,459,208,0.43263288009888756,0.5468409586056645,0.7428924598269468
53,467,268,121,0.4261241970021413,0.5485074626865671,0.7408993576017131
54,467,361,189,0.2269807280513919,0.47645429362880887,0.5952890792291221
55,809,543,132,0.3288009888751545,0.7569060773480663,0.8368355995055624
56,348,232,138,0.33333333333333337,0.4051724137931034,0.603448275862069
57,928,436,138,0.5301724137931034,0.6834862385321101,0.8512931034482758
58,348,253,178,0.2729885057471264,0.2964426877470355,0.4885057471264368
59,348,244,106,0.29885057471264365,0.5655737704918034,0.6954022988505747
60,928,680,203,0.26724137931034486,0.7014705882352941,0.78125
61,823,581,233,0.2940461725394897,0.5989672977624785,0.7168894289185905
62,453,325,168,0.282560706401766,0.48307692307692307,0.6291390728476821
63,823,584,255,0.29040097205346294,0.5633561643835616,0.6901579586877278
64,823,480,203,0.416767922235723,0.5770833333333334,0.7533414337788579
65,453,293,159,0.35320088300220753,0.4573378839590444,0.6490066225165563
66,585,372,91,0.36410256410256414,0.7553763440860215,0.8444444444444444
67,585,413,217,0.29401709401709397,0.47457627118644063,0.629059829059829
68,585,366,126,0.37435897435897436,0.6557377049180328,0.7846153846153846
69,690,515,247,0.2536231884057971,0.5203883495145631,0.6420289855072463
70,110,106,84,0.036363636363636376,0.2075471698113207,0.23636363636363633
71,215,176,110,0.1813953488372093,0.375,0.4883720930232558
72,110,104,80,0.054545454545454564,0.23076923076923073,0.2727272727272727
73,110,100,75,0.09090909090909094,0.25,0.31818181818181823
74,215,182,104,0.15348837209302324,0.4285714285714286,0.5162790697674419
75,140,62,38,0.5571428571428572,0.3870967741935484,0.7285714285714286
76,140,106,79,0.24285714285714288,0.2547169811320755,0.4357142857142857
77,140,105,90,0.25,0.1428571428571429,0.3571428571428571
78,839,418,163,0.501787842669845,0.6100478468899522,0.8057210965435042
79,615,431,212,0.2991869918699187,0.5081206496519721,0.6552845528455284
80,364,282,173,0.22527472527472525,0.3865248226950354,0.5247252747252747
81,615,441,168,0.2829268292682927,0.6190476190476191,0.7268292682926829
82,615,440,221,0.2845528455284553,0.4977272727272727,0.640650406504065
83,364,278,170,0.2362637362637363,0.38848920863309355,0.532967032967033
84,852,514,202,0.39671361502347413,0.6070038910505837,0.7629107981220657
