[18, 18, 18, 18, 18, 18, 18, 18, 18, 13, 18, 18, 18, 18, 2, 12, 4, 18, 5, 18, 1, 1, 1, 1]
[16, 16, 16, 16, 3, 16, 18, 18, 18, 18, 3, 3, 3, 3, 3, 18, 18, 6, 6, 16, 6, 6, 6, 6]
[13, 13, 13, 13, 3, 13, 18, 18, 18, 18, 3, 3, 3, 3, 0, 18, 18, 3, 13, 13, 3, 3, 3, 3]
[13, 13, 13, 13, 3, 13, 18, 18, 18, 18, 3, 3, 3, 3, 17, 18, 18, 3, 13, 13, 3, 3, 3, 3]
[13, 13, 13, 13, 3, 13, 18, 18, 18, 18, 3, 3, 3, 3, 23, 18, 18, 3, 13, 13, 3, 3, 3, 3]
[13, 13, 13, 13, 3, 13, 18, 18, 18, 18, 3, 3, 3, 3, 7, 18, 18, 3, 13, 13, 3, 3, 3, 3]
[13, 13, 13, 13, 3, 13, 18, 18, 18, 18, 3, 3, 3, 3, 10, 18, 18, 3, 13, 13, 3, 3, 3, 3]
[13, 13, 13, 13, 3, 13, 18, 18, 18, 18, 3, 3, 3, 3, 20, 18, 18, 3, 13, 13, 3, 3, 3, 3]
[3, 3, 3, 3, 3, 3, 18, 18, 18, 18, 3, 3, 3, 3, 7, 18, 18, 3, 9, 3, 3, 3, 3, 3]
[3, 3, 3, 3, 3, 3, 18, 18, 18, 18, 3, 3, 3, 3, 12, 18, 18, 3, 9, 3, 3, 3, 3, 3]
[3, 3, 3, 3, 3, 3, 18, 18, 18, 18, 3, 3, 3, 3, 21, 18, 18, 19, 19, 19, 19, 19, 19, 19]
[3, 3, 3, 3, 3, 3, 18, 18, 18, 18, 3, 3, 3, 3, 5, 18, 18, 19, 19, 19, 19, 19, 19, 19]
[3, 3, 3, 3, 3, 3, 18, 18, 18, 18, 3, 3, 3, 3, 12, 18, 18, 19, 19, 19, 19, 19, 19, 19]
[3, 3, 3, 3, 3, 3, 18, 18, 18, 18, 3, 3, 3, 3, 0, 18, 18, 19, 19, 19, 19, 19, 19, 19]
[3, 3, 3, 3, 3, 3, 18, 18, 18, 18, 3, 3, 3, 3, 8, 18, 18, 19, 19, 19, 19, 19, 19, 19]
[3, 3, 3, 3, 3, 3, 18, 18, 18, 18, 3, 3, 3, 3, 10, 18, 18, 19, 20, 13, 17, 17, 17, 17]
[3, 3, 3, 3, 3, 3, 18, 18, 18, 18, 3, 3, 3, 3, 15, 18, 18, 23, 14, 8, 17, 17, 17, 17]
[3, 3, 3, 3, 3, 3, 18, 18, 18, 18, 3, 3, 3, 3, 10, 18, 18, 2, 20, 13, 17, 17, 17, 17]
[14, 14, 14, 14, 14, 14, 14, 1, 14, 14, 14, 14, 14, 14, 5, 20, 14, 12, 7, 14, 12, 12, 12, 12]
[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 19, 17, 14, 12, 14, 14, 12, 12, 12, 12]
[14, 14, 14, 14, 14, 14, 14, 16, 14, 3, 14, 14, 14, 14, 4, 19, 18, 12, 11, 22, 12, 12, 12, 12]
[14, 14, 14, 14, 14, 14, 14, 16, 14, 3, 14, 14, 14, 14, 4, 5, 13, 12, 11, 2, 12, 12, 12, 12]
[14, 14, 14, 14, 14, 14, 14, 16, 14, 3, 14, 14, 14, 14, 5, 7, 18, 14, 17, 14, 12, 12, 12, 12]
[14, 14, 14, 14, 14, 14, 14, 16, 14, 15, 14, 14, 14, 14, 5, 22, 18, 14, 8, 14, 12, 12, 12, 12]
[14, 14, 14, 14, 14, 14, 14, 16, 14, 3, 14, 14, 14, 14, 5, 22, 18, 14, 17, 14, 12, 12, 12, 12]
[19, 18, 18, 18, 18, 18, 18, 5, 18, 10, 18, 18, 18, 18, 8, 3, 14, 18, 22, 2, 9, 18, 18, 18]
[20, 18, 18, 18, 18, 18, 18, 13, 18, 11, 18, 18, 18, 18, 19, 9, 10, 18, 22, 2, 18, 18, 18, 18]
[19, 18, 18, 18, 18, 18, 18, 5, 18, 10, 18, 18, 18, 18, 8, 3, 14, 18, 22, 2, 18, 18, 18, 18]
[2, 18, 2, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 8, 3, 10, 18, 18, 2, 18, 18, 18, 18]
[20, 18, 18, 18, 18, 18, 18, 0, 18, 18, 18, 18, 18, 18, 15, 9, 13, 18, 22, 2, 18, 18, 18, 18]
[19, 18, 18, 18, 18, 18, 18, 23, 18, 18, 18, 18, 18, 18, 4, 9, 14, 18, 22, 2, 18, 18, 18, 18]
[19, 18, 18, 18, 18, 18, 18, 23, 18, 18, 18, 18, 18, 18, 4, 9, 14, 18, 22, 21, 18, 18, 18, 18]
[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 22, 4, 6, 6, 1, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 11, 18, 6, 14, 3, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 23, 11, 18, 6, 14, 3, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 15, 17, 18, 6, 14, 3, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 23, 22, 4, 6, 18, 3, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 22, 18, 6, 13, 3, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 22, 4, 6, 16, 3, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 5, 23, 15, 6, 4, 16, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 21, 15, 12, 6, 14, 13, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 8, 5, 22, 6, 20, 1, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 23, 18, 5, 6, 14, 4, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 0, 3, 15, 3, 3, 3, 3, 13, 12, 5, 6, 19, 2, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 0, 3, 19, 3, 3, 3, 3, 15, 22, 18, 6, 7, 17, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 0, 3, 15, 3, 3, 3, 3, 7, 9, 5, 6, 2, 16, 6, 6, 6, 6]
[3, 3, 3, 3, 3, 3, 3, 0, 3, 19, 3, 3, 3, 3, 23, 18, 12, 6, 14, 13, 6, 6, 6, 6]
